Lang Code	EN	ES	FR	IT	URI	ATTRIBUTE
^espolín with Damassé ground_description	Construction of a fabric combining two techniques, a brocaded with a simulation of a damask in the ground.	Construcción de un tejido que utiliza la técnica del espolín con un fondo que simula un damasco, combinadno así dos técnicas una para fondo y otra para decoración	Construction of a fabric combining two techniques, a brocaded with a simulation of a damask in the ground.	"Tessuto doppio oppure mezzo damasco/ damaschello broccato "		
^lampas_description	Lampas: n. The term "lampas" overlaps the definitions of other weaves, depending on the pattern. But, generally the term is used for a figured compound weave, to produce luxurious figured silks, in which a pattern, composed of weft floats bound by a binding warp, is added to a ground weave formed by a main warp and a main weft. It is understood also as a combination of two structures formed from plain weave, twill and/or satin bindings. Lampas juxtaposes two faces created with these structures. It has been developed in Syria and Iraq and notably in Spain. 	Lampás: Der. del lat. lampas, -ădis, y este del gr. λαμπάς lampás 'antorcha'. Tejido de seda labrado cuya decoración está constituida esencialmente por bastas de trama que se destacan sobre un fondo y que quedan sujetas por una urdimbre de ligadura, casi siempre ligadas en tafetán o sarga, diferente a la urdimbre de fondo.	Lampas: Subst. masc. Orig. incert. Pourrait provenir de laba, labba "morceau d'étoffe" en francique. Tissu "cousin" du damas, probablement originaire de Chine, façonné, qui présente de grands motifs d'une couleur différente de celle du fond. Cette étoffe a été très appréciée en France sous Louis XV, et a été particulièrement bien mise en valeur par les dessins de Philippe de Lasalle.	Lampasso: s.m. Dal fr. Lampas, di etimo incerto. Tessuto operato, di grande pregio, noto a partire dal X sec., fabbricato con filati di seta e talvolta arricchito con trame d'oro e d'argento. E' caratterizzato da grandiosi disegni ornamentali ottenuti da slegature di trama normalmente legate in taffetà o spina dai fili di una catena di legatura (catena di pelo) che si staccano su un fondo formato da una catena di fondo o da due catene. Storicamente questo tipo di tessuto risulta dall'introduzione di un'armatura di fondo negli sciamiti, in modo che fondo e disegno si differenziano per la loro struttura; fatto che consente l'esecuzione di tessuti operati monocromi con facile lettura del disegno.		
^damassé with metallic weft_description	Construction of a fabric which simulates a damask whose weft is a metallic.	Construcción de un tejido que simula un damasco y cuyas tramas son uno o varios metales	Construction d'un tissu dont l'aspect ressemble à celui des damas, et dont les fils de trame sont composés d'un ou de plusieurs métaux	Damaschello con trama mettalica		
^freestyle_description	Construction of a fabric without following any of the techniques	Construcción de un tejido sin seguir las normas textiles	Construction of a fabric without following any of the techniques	Construction of a fabric without following any of the techniques		
^wrp	Warp	Urdimbre	Chaîne	Ordito		
^weave	Weave	Ligamento	Armure	Armatura		
^suggested weaving technique:	Suggested weaving technique:	Técnica sugerida:	Tecnique suggéré:	Tecnica suggerita:		
^suggested weave:	Suggested weave:	Ligamento sugerido:	Armure suggéré:	Armatura suggerita:		
^binding Warp	Liage repris	Liage à repris	Liage à repris	Liage repris		
^weaving technique:	Weaving Technique	Técnica de tejido	Tecnique de tissaje	Tecnica di tessitura		
^Silk-3	Silk 3	Seda 3	Soie 3	Seta 3		
^Silk-6	Silk 6	Seda 6	Soie 6	Seta 6		
^Silk-16	Silk 16	Seda 16	Soie 16	Seta 16		
^Cotton	Cotton	Algodón	Coton	Cotone		
^Gold Aged Brown	Golded Aged Brown	Oro envejecido	Brun doré aspect vieilli	Oro brunito		
^Gold Bronze	Gold Bronze	Oro bronce	Bronze doré	Oro bronzato		
^Gold	Gold	Oro	Or	Oro		
^Silver Dark	Silver Dark	Plata oscura	Argent foncé	Argento brunito		
^Silver Light	Silver Light	Plata clara	Argent clair	Argento lucido		
^Silver Golden	Silver Golden	Plata dorada	Argent doré	Argento dorato		
^yarn	Yarn	Hilo	Fil	Filo		
